Code,Location
PSJ  ,"Port St. Joe, FL"
PSM ,"Portsmouth, NH"
PTL  ,"Porthill, ID"
PTO  ,"Port Townsend, WA"
PTR  ,"Point Roberts, WA"
PUT  ,"Put-in-Bay, OH"
RAN ,"Ranier, MN"
RAY  ,"Raymond, MT"
RBB  ,"Niagara Falls, Rainbow Bridge, NY"
RBT  ,"Roberts Landing, MI"
RCM ,"Richmond, VA"
RDU ,"Raleigh-Durham, NC"
REN  ,"Reno, NV"
RIF   ,"Richford, VT"
RIO  ,"Rio Grande City, TX"
RIT  ,"Rome, Italy"
ROC ,"Rochester, NY"
ROM ,"Roma, TX"
ROO ,"Roosville, MT"
ROS ,"Roseau, MN"
ROU ,"Rouses Point, NY"
SAC  ,"Sacramento, CA"
SAG ,"Saginaw, MI"
SAJ  ,"San Juan, PR"
SAR  ,"Sarles, ND"
SAS  ,"Sasabe, AZ"
SAU ,"St. Augustine, FL"
SAV  ,"Savannah, GA"
SBR  ,"South Brewer, ME"
SCL  ,"St. Clair, MI"
SCO ,"Scobey, MT"
SDP  ,"San Diego Intl. Airport, CA"
SDY  ,"Sandusky, OH"
SEA  ,"Seattle, WA"
SET  ,"Seattle-Tacoma, WA"
SFB  ,"Sanford, FL"
SFR  ,"San Francisco, CA"
SHA ,"Shannon, Ireland"
SHR ,"Sherwood, ND"
SJO  ,"St. John, ND"
SKA  ,"Skagway, AK"
SLC  ,"Salt Lake City, UT"
SLO  ,"San Luis Obispo, CA"
SLU  ,"San Luis, AZ"
SNA ,"San Antonio, TX"
SND ,"San Diego, CA"
SNJ  ,"San Jose, CA"
SNN ,"Shannon, Ireland"
SPA  ,"St. Pamphile, ME"
SPC  ,"San Pedro, CA"
SPE  ,"St. Petersburg, FL"
SPM ,"St. Paul, MN"
SPN  ,Saipan
SPO ,"Spokane, WA"
SRL  ,"St. Aurelie, ME"
SSB  ,"Sanford, Fl"
SSM ,"Sault Ste. Marie, MI"
STA  ,"St. Albans, VT"
STJ  ,"St. John, USVI"
STL  ,"St. Louis, MO"
STR  ,"Santa Teresa, NM"
STZ  ,"St. Zacharie, ME"
SUM ,"Sumas, WA"
SWE ,"Sweetgrass, MT"
SYR  ,"Syracuse, NY"
SYS  ,"San Ysidro, CA"
TAC  ,"Tacoma, WA"
TAM ,"Tampa, FL"
TEC  ,"Tecate, CA"
THO ,"Thousand Islands Bridge, NY"
TOL  ,"Toledo, OH"
TOR ,"Toronto, Ontario Canada"
TRL  ,"Trail Creek, MT"
TRO ,"Trout River, NY"
TRV  ,"Travis AFB, CA"
TUC  ,"Tucson, AZ"
TUR  ,"Turner, MT"
VAN ,"Vancouver, WA"
VCB  ,"Vanceboro, ME"
VCV  ,"Vancouver, BC Canada"
VIB  ,Veterans International Bridge
VIC  ,"Victoria, BC"
VNB ,"Van Buren, ME"
WAL ,"Walhalla, ND"
WAR ,"Warroad, MN"
WAS ,"Washington, DC"
WBE ,"West Berkshire, VT"
WCM,"Willow Creek, MT"
WHI ,"Whitetail, MT"
WHM,"Wildhorse, MT"
WHO,"Westhope, ND"
WHR ,Whirlpool Bridge
WHT ,"Whitlash, MT"
WIL  ,"Wilmington, NC"
WIN ,"Winnipeg, SK. Canada"
WLL ,"Wilmington, DE"
WND,"Williston, ND (Int'l Airport)"
WPB ,"West Palm Beach, FL"
WRA ,"Wrangell, AK"
WRB ,Whirlpool Bridge
YAK  ,"Yakima, WA"
YOU ,"Youngstown, NY"
YSL  ,"Ysleta, TX"
YUI  ,"Yuma, AZ"
